"date","open","high","low","close","volume","turnover","return"
"2016/4/8",2230.951,2239.805,2194.234,2229.934,179469.72,4466886.14,-0.00837316759171891
"2016/4/11",2255.069,2301.412,2255.069,2283.143,199466.25,5030578.46,0.0235810138458579
"2016/4/12",2283.211,2289.545,2236.442,2264.016,170782.1,4318852.62,-0.00841277501357318
"2016/4/13",2278.522,2330.055,2278.522,2294.015,217766.35,5754016.7,0.0131633300288883
"2016/4/14",2310.596,2325.378,2289.567,2324.394,183349.78,4581720.32,0.0131558024215135
"2016/4/15",2328.312,2328.312,2297.675,2309.676,145269.77,3734133.56,-0.00635210494805083
"2016/4/18",2288.42,2288.42,2249.339,2265.593,143097.72,3518517.95,-0.0192707201328997
"2016/4/19",2278.307,2289.049,2253.592,2272.52,130043.2,3183513.81,0.00305281308763217
"2016/4/20",2279.758,2284.104,2119.424,2145.239,216670.36,4947432.1,-0.0576383798264155
"2016/4/21",2135.932,2160.258,2106.968,2110.162,127840.63,2843186.76,-0.0164862462925042
"2016/4/22",2093.781,2136.924,2090.95,2136.924,104719.12,2454382.81,0.0126026900380731
"2016/4/25",2128.655,2130.06,2083.635,2126.834,95579.91,2148314.27,-0.0047329228512174
"2016/4/26",2123.874,2155.697,2119.379,2155.697,89115.18,1995719.27,0.0134796161581674
"2016/4/27",2162.762,2176.333,2142.462,2146.611,104792,2394015.54,-0.00422378570205861
"2016/4/28",2149.102,2158.492,2108.268,2155.229,101232.7,2328308.24,0.00400666297629648
"2016/4/29",2141.58,2162.194,2138.738,2138.738,80246.4,1906960.21,-0.00768104695661798
"2016/5/3",2138.963,2217.23,2126.874,2217.23,145512.32,3373521.53,0.0360427335965028
"2016/5/4",2210.13,2233.591,2206.264,2211.018,136717.22,3145517.64,-0.00280562609629431
"2016/5/5",2208.397,2226.553,2198.762,2224.095,108003.28,2502841.38,0.00589704834859006
"2016/5/6",2226.444,2235.959,2129.194,2129.194,160547.93,3551466.91,-0.0436065869506814
"2016/5/9",2107.333,2107.333,2045.122,2053.597,122303.31,2553088.47,-0.0361506146282116
"2016/5/10",2051.376,2067.617,2044.281,2054.222,76587.32,1610017.04,0.000304297733090486
"2016/5/11",2067.69,2073.834,2032.296,2034.925,93826.17,1941546.73,-0.0094382242790374
"2016/5/12",2006.258,2039.318,1975.065,2034.565,91775.46,1859727.47,-0.000176926347497108
"2016/5/13",2030.941,2058.656,2013.863,2025.223,83010.01,1685017.49,-0.00460221887889212
"2016/5/16",2017.843,2057.857,2008.54,2057.857,94157.21,1861361.88,0.015985332108686
"2016/5/17",2059.515,2107.731,2036.884,2081.44,135404.42,2796882.89,0.011394811810276
"2016/5/18",2062.811,2062.811,2000.526,2020.475,122681.3,2351967.82,-0.0297273295862261
"2016/5/19",2023.958,2076.484,2023.958,2037.403,123234.61,2580386.49,0.00834332535276516
"2016/5/20",2018.382,2065.301,2013.532,2065.301,104248.53,2153034.74,0.0136000208648577
"2016/5/23",2072.997,2107.049,2072.997,2098.234,139282.64,2789023.94,0.0158200600470968
"2016/5/24",2094.21,2094.21,2061.517,2075.509,123186.03,2508160.26,-0.0108896137435464
"2016/5/25",2091.972,2111.26,2062.64,2067.253,133100.49,2720961.84,-0.00398575198368345
"2016/5/26",2060.427,2086.49,2019.297,2086.007,134159.7,2697146.5,0.00903103945527217
"2016/5/27",2076.297,2090.168,2065.374,2069.885,117956.99,2436759.4,-0.00775866209919318
"2016/5/30",2054.617,2083.83,2033.665,2058.518,109603.79,2065723.61,-0.00550674375762661
"2016/5/31",2061.839,2160.527,2060.141,2159.8,214850.82,4284194.47,0.0480293183956944
"2016/6/1",2164.727,2188.884,2163.049,2168.82,201894.99,4190280.2,0.00416761603269045
"2016/6/2",2163.588,2188.558,2160.251,2188.558,162838.21,3281793.05,0.00905963861885972
